variable,level,n
sex,MALE,314
vital_status,Alive,310
vital_status,Dead,3
vital_status,Alive|Dead,1
pathologic_stage,Missing,314
pathologic_t,T2c,103
pathologic_t,T3a,93
pathologic_t,T3b,90
pathologic_t,T2a,8
pathologic_t,T4,8
pathologic_t,T2b,7
pathologic_t,Missing,5
pathologic_n,N0,204
pathologic_n,N1,57
pathologic_n,Missing,53
pathologic_m,Missing,314
histologic_grade,Missing,314
primary_site,Missing,314
