model,threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit,sensitivity,specificity
clinical_only,0.05,0.1868923902111968,0.1887361716392893,0.0,0.9861111111111112,0.03305785123966942
clinical_only,0.1,0.1496815286624204,0.14366595895258316,0.0,0.8888888888888888,0.3677685950413223
clinical_only,0.15000000000000002,0.11895841139003371,0.09329336830273507,0.0,0.8472222222222222,0.4462809917355372
clinical_only,0.2,0.0804140127388535,0.03662420382165604,0.0,0.7361111111111112,0.5413223140495868
clinical_only,0.25,0.05201698513800425,-0.027600849256900206,0.0,0.5972222222222222,0.6694214876033058
clinical_only,0.3,0.04549590536851682,-0.1010009099181074,0.0,0.5555555555555556,0.7520661157024794
clinical_only,0.35000000000000003,0.02106810387065164,-0.18569328760411574,0.0,0.4583333333333333,0.7975206611570248
clinical_only,0.4,-0.011677282377919332,-0.28450106157112537,0.0,0.2361111111111111,0.871900826446281
clinical_only,0.45,-0.017660683265778805,-0.40127388535031844,0.0,0.1388888888888889,0.9214876033057852
clinical_only,0.5,-0.012738853503184712,-0.5414012738853504,0.0,0.041666666666666664,0.9710743801652892
clinical_only,0.55,-0.0014154281670205257,-0.7126680820948339,0.0,0.027777777777777776,0.9917355371900827
clinical_only,0.6000000000000001,0.0031847133757961785,-0.9267515923566885,0.0,0.013888888888888888,1.0
clinical_only,0.6500000000000001,0.0031847133757961785,-1.202001819836216,0.0,0.013888888888888888,1.0
clinical_only,0.7000000000000001,0.0031847133757961785,-1.569002123142251,0.0,0.013888888888888888,1.0
clinical_only,0.7500000000000001,0.0031847133757961785,-2.082802547770702,0.0,0.013888888888888888,1.0
clinical_expression,0.05,0.1763325511230305,0.1887361716392893,0.0,0.9166666666666666,0.1652892561983471
clinical_expression,0.1,0.13021939136588817,0.14366595895258316,0.0,0.8055555555555556,0.36363636363636365
clinical_expression,0.15000000000000002,0.10528287748220304,0.09329336830273507,0.0,0.7777777777777778,0.4628099173553719
clinical_expression,0.2,0.09394904458598725,0.03662420382165604,0.0,0.7361111111111112,0.6115702479338843
clinical_expression,0.25,0.06157112526539278,-0.027600849256900206,0.0,0.6111111111111112,0.6942148760330579
clinical_expression,0.3,0.054140127388535034,-0.1010009099181074,0.0,0.5694444444444444,0.768595041322314
clinical_expression,0.35000000000000003,0.03650171484566389,-0.18569328760411574,0.0,0.4583333333333333,0.8347107438016529
clinical_expression,0.4,0.012738853503184697,-0.28450106157112537,0.0,0.3333333333333333,0.8760330578512396
clinical_expression,0.45,-0.01997683844817602,-0.40127388535031844,0.0,0.20833333333333334,0.8925619834710744
clinical_expression,0.5,-0.02229299363057325,-0.5414012738853504,0.0,0.125,0.9338842975206612
clinical_expression,0.55,-0.007430997876857755,-0.7126680820948339,0.0,0.06944444444444445,0.9752066115702479
clinical_expression,0.6000000000000001,-0.01910828025477708,-0.9267515923566885,0.0,0.041666666666666664,0.9752066115702479
clinical_expression,0.6500000000000001,-0.008189262966333042,-1.202001819836216,0.0,0.041666666666666664,0.987603305785124
clinical_expression,0.7000000000000001,-0.01273885350318472,-1.569002123142251,0.0,0.041666666666666664,0.987603305785124
clinical_expression,0.7500000000000001,-0.009554140127388549,-2.082802547770702,0.0,0.041666666666666664,0.9917355371900827
